id,first_active_month,reward_program,cardholder_fico_score,cardholder_fico_range,cardholder_age
C_ID_0002709b5a,2015-08,travel,357,bad,38
C_ID_0004725b87,2016-10,travel,558,bad,65
C_ID_0006152db8,2017-06,travel,746,excellent,42
C_ID_00079fec55,2017-10,dining_entertainment,585,bad,44
C_ID_0007a60a33,2017-06,cash_back,693,good,23
C_ID_0007fe3157,2017-05,cash_back,664,fair,91
C_ID_0009d25138,2017-04,cash_back,567,bad,19
C_ID_000acab1f6,2017-01,dining_entertainment,419,bad,31
C_ID_000b3dbdea,2017-11,cash_back,380,bad,31
C_ID_000c00fc96,2016-11,travel,815,excellent,37
C_ID_000c778b05,2017-06,cash_back,545,bad,83
C_ID_000cadb59e,2016-09,cash_back,639,fair,80
C_ID_000cfb6503,2016-09,cash_back,456,bad,52
C_ID_000edf11d7,2017-11,cash_back,411,bad,48
C_ID_000f023e16,2016-12,travel,348,bad,24
C_ID_000f76201e,2017-12,cash_back,641,fair,56
C_ID_000f7b7753,2017-07,travel,424,bad,40
C_ID_00128a24cf,2016-07,travel,420,bad,57
C_ID_00191957a1,2015-11,travel,408,bad,53
C_ID_001aa75740,2017-12,cash_back,757,excellent,74
C_ID_001b4c5151,2017-02,travel,642,fair,28
C_ID_001b9c4a97,2016-07,cash_back,478,bad,33
C_ID_001cb1aa86,2017-04,cash_back,401,bad,32
C_ID_001f2d7b8c,2017-01,cash_back,730,excellent,24
C_ID_001fc7b4d5,2017-08,cash_back,659,fair,38
C_ID_0020246399,2017-03,dining_entertainment,715,good,19
C_ID_00216bdb6a,2016-08,dining_entertainment,530,bad,92
C_ID_002249e66d,2016-02,dining_entertainment,458,bad,39
C_ID_0022d08784,2016-06,dining_entertainment,409,bad,96
C_ID_00254bc137,2014-12,travel,647,fair,44
C_ID_002887180d,2017-01,travel,388,bad,26
C_ID_0028e15a78,2017-10,cash_back,425,bad,41
C_ID_002bfe78ca,2017-05,cash_back,802,excellent,33
C_ID_002dadc69b,2017-08,cash_back,549,bad,68
