since_first_active_month_parsed_days,reward_int,cardholder_fico_score,Range_int,cardholder_age
3314,0,357,0,38
2887,0,558,0,65
2644,0,746,3,42
2522,2,585,0,44
2644,1,693,2,23
2675,1,664,1,91
2705,1,567,0,19
2795,2,419,0,31
2491,1,380,0,31
2856,0,815,3,37
2644,1,545,0,83
2917,1,639,1,80
2917,1,456,0,52
2491,1,411,0,48
2826,0,348,0,24
2461,1,641,1,56
2614,0,424,0,40
2979,0,420,0,57
3222,0,408,0,53
2461,1,757,3,74
2764,0,642,1,28
2979,1,478,0,33
2705,1,401,0,32
2795,1,730,3,24
2583,1,659,1,38
2736,2,715,2,19
2948,2,530,0,92
3130,2,458,0,39
3009,2,409,0,96
3557,0,647,1,44
2795,0,388,0,26
2522,1,425,0,41
2675,1,802,3,33
2583,1,549,0,68
2552,1,377,0,50
2522,2,393,0,33
2979,2,390,0,36
2736,1,402,0,55
2552,1,605,0,71
3040,0,680,1,25
4378,1,679,1,41
3283,2,513,0,27
4136,1,775,3,46
2644,1,442,0,51
2887,1,448,0,61
2764,1,508,0,89
3253,1,448,0,41
2491,2,423,0,33
2736,0,545,0,32
2917,1,499,0,34
2614,0,701,2,49
2583,1,358,0,43
2614,1,436,0,57
3130,1,551,0,28
2705,1,730,3,28
2856,2,431,0,41
2522,1,763,3,43
2461,1,336,0,54
2491,1,693,2,51
2826,0,702,2,58
2491,2,792,3,32
2764,1,830,3,49
3040,1,453,0,37
2614,1,481,0,44
2856,2,777,3,19
2826,1,317,0,49
2614,1,809,3,49
2856,1,446,0,74
2736,1,454,0,49
3161,1,406,0,20
2917,2,760,3,21
2644,0,678,1,26
2795,2,540,0,60
2979,1,496,0,83
2795,1,440,0,56
2522,2,356,0,61
2795,1,557,0,40
2675,1,826,3,24
2522,1,468,0,19
2461,1,354,0,72
2917,1,445,0,28
2583,0,310,0,85
2644,0,574,0,24
2461,2,378,0,80
2764,2,662,1,77
2856,2,361,0,35
2461,0,637,1,61
3740,1,477,0,38
2736,2,504,0,31
2675,1,818,3,21
3040,1,530,0,94
3040,1,459,0,97
3557,0,730,3,75
3009,1,685,1,18
2795,1,849,3,43
2764,2,847,3,36
2583,1,365,0,38
2979,1,518,0,60
2795,1,557,0,27
2491,1,442,0,51
3375,1,433,0,30
3070,1,421,0,29
2675,1,442,0,72
2491,1,555,0,37
2583,2,799,3,41
2826,1,438,0,69
2552,1,775,3,23
2461,1,578,0,96
2522,0,733,3,33
2614,1,709,2,45
3495,0,428,0,94
3070,1,697,2,25
2675,1,473,0,56
2979,1,340,0,74
2764,2,437,0,86
3101,1,476,0,37
2583,2,706,2,22
2979,2,336,0,21
2856,0,819,3,84
2795,1,828,3,62
2614,1,342,0,50
2826,2,848,3,62
2522,0,788,3,46
3832,2,741,3,54
2917,2,377,0,59
2522,1,591,0,71
3771,2,614,0,84
2705,1,574,0,21
3952,2,335,0,68
2826,2,533,0,70
2491,1,680,1,41
2614,1,845,3,87
2522,1,324,0,49
2644,0,679,1,62
2614,1,434,0,44
2764,1,569,0,82
2856,2,672,1,58
2614,1,716,2,21
2705,1,353,0,61
3587,0,617,0,35
3771,1,669,1,37
2644,2,451,0,22
2764,1,304,0,37
2522,1,731,3,23
2522,1,562,0,80
2583,2,492,0,61
2583,0,650,1,65
2522,1,659,1,43
3161,1,829,3,49
3040,2,688,1,20
2461,1,835,3,65
3648,2,606,0,93
2826,1,467,0,21
2675,1,492,0,31
2644,1,822,3,48
3070,2,399,0,31
2552,0,685,1,33
2522,1,668,1,74
2522,2,636,1,19
2491,0,612,0,76
2644,1,800,3,46
2522,2,540,0,22
2948,1,412,0,42
2583,0,344,0,32
2736,0,599,0,87
2552,0,711,2,35
2583,2,319,0,56
3283,1,594,0,78
2461,0,620,0,30
3467,1,459,0,36
2826,0,409,0,59
2491,1,479,0,66
2736,1,459,0,75
3040,1,820,3,37
2552,0,798,3,39
2461,2,705,2,52
2736,2,434,0,31
2887,1,377,0,88
2522,1,506,0,47
2491,0,469,0,39
3101,1,794,3,36
2614,1,824,3,51
2826,2,734,3,68
2705,1,443,0,39
2736,1,444,0,62
2552,1,817,3,54
2948,1,701,2,61
2675,1,471,0,34
2736,0,649,1,26
2675,1,506,0,69
2583,1,793,3,49
2887,0,651,1,68
2887,2,679,1,57
2887,1,775,3,94
2461,1,383,0,62
2856,1,549,0,42
3040,0,352,0,57
2522,1,480,0,39
2736,1,836,3,87
2675,1,538,0,98
2795,1,344,0,39
2736,0,743,3,49
2522,1,810,3,28
3040,1,626,0,81
2826,0,403,0,39
2675,0,641,1,54
2461,1,354,0,79
2948,2,535,0,37
2644,1,616,0,20
3070,2,418,0,21
2826,1,595,0,46
3801,0,348,0,80
2522,0,468,0,24
2675,1,681,1,51
2491,1,656,1,41
2856,2,570,0,22
2887,1,600,0,35
3314,0,347,0,29
3009,1,648,1,25
2461,1,448,0,62
2705,0,793,3,36
2522,1,415,0,28
2856,1,747,3,82
2979,1,669,1,33
2522,1,519,0,19
2491,0,797,3,33
2826,0,438,0,27
2795,1,547,0,36
2826,2,710,2,18
2583,2,428,0,58
2552,1,646,1,40
2614,0,436,0,51
2552,2,681,1,54
2795,2,505,0,28
2705,1,548,0,42
2614,2,409,0,66
2644,2,803,3,49
3283,1,662,1,61
2461,1,757,3,23
2583,2,300,0,47
2705,1,841,3,25
2644,2,698,2,44
3283,1,359,0,41
2614,2,764,3,60
2764,1,359,0,18
3618,1,362,0,52
4075,1,687,1,40
2461,1,405,0,69
2614,2,476,0,37
2522,1,474,0,33
2552,2,382,0,81
2705,2,634,1,42
2614,1,361,0,24
3130,1,827,3,26
2826,1,398,0,73
2644,1,302,0,60
3222,2,842,3,20
2675,1,749,3,31
2856,0,555,0,50
2675,1,746,3,41
2948,1,731,3,21
2522,1,812,3,20
2856,1,804,3,28
2644,2,508,0,25
2644,0,449,0,85
3283,1,820,3,31
2583,1,816,3,50
2614,1,334,0,73
2583,1,563,0,69
2705,1,380,0,46
2583,2,547,0,25
2887,1,624,0,33
2522,1,306,0,32
2764,1,354,0,55
2552,1,814,3,33
2826,1,312,0,44
2552,2,787,3,27
2736,2,394,0,78
2764,1,358,0,55
2552,0,847,3,73
3314,1,791,3,34
2675,2,812,3,60
2948,1,576,0,37
2826,2,761,3,67
3557,1,671,1,23
3070,2,567,0,49
3253,1,461,0,49
2614,0,785,3,33
2887,2,781,3,52
2614,1,449,0,100
